"","County","DistrictName","TotalTeacherCount","TotalStudentCount","TeacherToStudentRatio","StudentToTeacherRatio","COUNTYFP","fips","COUNTYN","COUNTYNS","COUNTYNS_TIGER","GEOID_TIGER","GEOID_AFF","mean(StudentToTeacherRatio)"
"219","San Juan","San Juan Island School District",70,766,0.09138,10.94286,55,53055,28,1531931,1531931,53055,"0500000US53055",9.26436
"220","Grays Harbor","Satsop School District",4,52,0.07692,13,27,53027,14,1531823,1531823,53027,"0500000US53027",12.2227376923077
"221","King","Seattle School District No. 1",3700,53353,0.06935,14.41973,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"222","Skagit","Sedro-Woolley School District",276,4331,0.06373,15.69203,57,53057,29,1531402,1531402,53057,"0500000US53057",14.9896285714286
"223","Yakima","Selah School District",266,3587,0.07416,13.48496,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"224","San Juan","Shaw Island School District",2,8,0.25,4,55,53055,28,1531931,1531931,53055,"0500000US53055",9.26436
"225","Pend Oreille","Selkirk School District",21,232,0.09052,11.04762,51,53051,26,1529157,1529157,53051,"0500000US53051",11.7826533333333
"226","Clallam","Sequim School District",174,2553,0.06816,14.67241,9,53009,5,1531341,1531341,53009,"0500000US53009",12.328024
"227","King","Shoreline School District",596,9406,0.06336,15.78188,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"228","Skamania","Skamania School District",6,58,0.10345,9.66667,59,53059,30,1529220,1529220,53059,"0500000US53059",10.16667
"229","King","Skykomish School District",18,50,0.36,2.77778,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"230","Snohomish","Snohomish School District",569,9257,0.06147,16.26889,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"231","King","Snoqualmie Valley School District",462,6963,0.06635,15.07143,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"232","Grant","Soap Lake School District",36,538,0.06691,14.94444,25,53025,13,1531924,1531924,53025,"0500000US53025",14.578089
"233","Pacific","South Bend School District",53,598,0.08863,11.28302,49,53049,25,1513274,1513274,53049,"0500000US53049",11.7461716666667
"234","King","Tukwila School District",170,2713,0.06266,15.95882,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"235","Kitsap","South Kitsap School District",788,10019,0.07865,12.71447,35,53035,18,1529223,1529223,53035,"0500000US53035",13.7001785714286
"236","Island","South Whidbey School District",97,1221,0.07944,12.58763,29,53029,15,1513272,1513272,53029,"0500000US53029",14.63552
"237","Mason","Southside School District",14,203,0.06897,14.5,45,53045,23,1529221,1529221,53045,"0500000US53045",13.9665842857143
"238","Spokane","Spokane School District",1961,28823,0.06804,14.69811,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"239","Lincoln","Sprague School District",13,75,0.17333,5.76923,43,53043,22,1514052,1514052,53043,"0500000US53043",9.2348425
"240","Whitman","St. John School District",18,131,0.1374,7.27778,75,53075,38,1533501,1533501,53075,"0500000US53075",8.74579923076923
"241","Snohomish","Stanwood-Camano School District",286,4605,0.06211,16.1014,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"242","Franklin","Star School District No. 054",2,15,0.13333,7.5,21,53021,11,1531822,1531822,53021,"0500000US53021",10.4664875
"243","Columbia","Starbuck School District",4,36,0.11111,9,13,53013,7,1513273,1513273,53013,"0500000US53013",10.42424
"244","Chelan","Stehekin School District",1,8,0.125,8,7,53007,4,1531932,1531932,53007,"0500000US53007",13.08762
"245","Pierce","Steilacoom Hist. School District",199,3159,0.06299,15.87437,53,53053,27,1529159,1529159,53053,"0500000US53053",15.682438125
"246","Whitman","Steptoe School District",4,45,0.08889,11.25,75,53075,38,1533501,1533501,53075,"0500000US53075",8.74579923076923
"247","Skamania","Stevenson-Carson School District",57,836,0.06818,14.66667,59,53059,30,1529220,1529220,53059,"0500000US53059",10.16667
"248","Snohomish","Sultan School District",120,1873,0.06407,15.60833,61,53061,31,1529222,1529222,53061,"0500000US53061",15.363155
"249","Stevens","Summit Valley School District",6,59,0.10169,9.83333,65,53065,33,1531930,1531930,53065,"0500000US53065",14.5874133333333
"250","Pierce","Sumner School District",600,9702,0.06184,16.17,53,53053,27,1529159,1529159,53053,"0500000US53053",15.682438125
"251","Yakima","Sunnyside School District",378,6724,0.05622,17.78836,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"252","Pierce","Tacoma School District",1744,27825,0.06268,15.9547,53,53053,27,1529159,1529159,53053,"0500000US53053",15.682438125
"253","Thurston","Yelm School District",338,5395,0.06265,15.96154,67,53067,34,1529226,1529226,53067,"0500000US53067",13.461519
"254","Grays Harbor","Taholah School District",20,154,0.12987,7.7,27,53027,14,1531823,1531823,53027,"0500000US53027",12.2227376923077
"255","King","Tahoma School District",487,8679,0.05611,17.82136,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"256","Whitman","Tekoa School District",18,172,0.10465,9.55556,75,53075,38,1533501,1533501,53075,"0500000US53075",8.74579923076923
"257","Thurston","Tenino School District",83,1274,0.06515,15.3494,67,53067,34,1529226,1529226,53067,"0500000US53067",13.461519
"258","Kittitas","Thorp School District",24,219,0.10959,9.125,37,53037,19,1531926,1531926,53037,"0500000US53037",10.7473716666667
"259","Lewis","Toledo School District",52,788,0.06599,15.15385,41,53041,21,1531927,1531927,53041,"0500000US53041",13.5884361538462
"260","Okanogan","Tonasket School District",72,1100,0.06545,15.27778,47,53047,24,1531928,1531928,53047,"0500000US53047",16.30294
"261","Yakima","Toppenish School District",212,4710,0.04501,22.21698,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"262","Walla Walla","Touchet School District",20,213,0.0939,10.65,71,53071,36,1531819,1531819,53071,"0500000US53071",13.3831125
"263","Cowlitz","Toutle Lake School District",38,668,0.05689,17.57895,15,53015,8,1529156,1529156,53015,"0500000US53015",16.13208
"264","Klickitat","Trout Lake School District",33,189,0.1746,5.72727,39,53039,20,1529219,1529219,53039,"0500000US53039",9.754542
"265","Thurston","Tumwater School District",449,6433,0.0698,14.32739,67,53067,34,1529226,1529226,53067,"0500000US53067",13.461519
"266","Yakima","Union Gap School District",39,562,0.0694,14.41026,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"267","Pierce","University Place School District",346,5660,0.06113,16.35838,53,53053,27,1529159,1529159,53053,"0500000US53053",15.682438125
"268","Stevens","Valley School District",57,1396,0.04083,24.49123,65,53065,33,1531930,1531930,53065,"0500000US53065",14.5874133333333
"269","Clark","Vancouver School District",1415,21550,0.06566,15.22968,11,53011,6,1531820,1531820,53011,"0500000US53011",14.8485255555556
"270","King","Vashon Island School District",92,1494,0.06158,16.23913,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"271","Wahkiakum","Wahkiakum School District",41,461,0.08894,11.2439,69,53069,35,1513275,1513275,53069,"0500000US53069",11.2439
"272","Grant","Wahluke School District",160,2454,0.0652,15.3375,25,53025,13,1531924,1531924,53025,"0500000US53025",14.578089
"273","Walla Walla","Waitsburg School District",18,248,0.07258,13.77778,71,53071,36,1531819,1531819,53071,"0500000US53071",13.3831125
"274","Walla Walla","Walla Walla Public Schools",341,5372,0.06348,15.75367,71,53071,36,1531819,1531819,53071,"0500000US53071",13.3831125
"275","Yakima","Wapato School District",202,3205,0.06303,15.86634,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"276","Grant","Warden School District",60,895,0.06704,14.91667,25,53025,13,1531924,1531924,53025,"0500000US53025",14.578089
"277","Clark","Washougal School District",186,2974,0.06254,15.98925,11,53011,6,1531820,1531820,53011,"0500000US53011",14.8485255555556
"278","Adams","Washtucna School District",28,58,0.48276,2.07143,1,53001,1,1531601,1531601,53001,"0500000US53001",8.548654
"279","Douglas","Waterville School District",23,264,0.08712,11.47826,17,53017,9,1531818,1531818,53017,"0500000US53017",12.5557633333333
"280","Stevens","Wellpinit School District #49",35,449,0.07795,12.82857,65,53065,33,1531930,1531930,53065,"0500000US53065",14.5874133333333
"281","Chelan","Wenatchee School District",533,7270,0.07331,13.63977,7,53007,4,1531932,1531932,53007,"0500000US53007",13.08762
"282","Spokane","West Valley School District (Spokane)",226,3367,0.06712,14.89823,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"283","Yakima","West Valley School District (Yakima)",324,5239,0.06184,16.16975,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"284","Lewis","White Pass School District",27,333,0.08108,12.33333,41,53041,21,1531927,1531927,53041,"0500000US53041",13.5884361538462
"285","Pierce","White River School District",220,3916,0.05618,17.8,53,53053,27,1529159,1529159,53053,"0500000US53053",15.682438125
"286","Klickitat","White Salmon Valley School District",79,1147,0.06888,14.51899,39,53039,20,1529219,1529219,53039,"0500000US53039",9.754542
"287","Lincoln","Wilbur School District",26,220,0.11818,8.46154,43,53043,22,1514052,1514052,53043,"0500000US53043",9.2348425
"288","Pacific","Willapa Valley School District",26,341,0.07625,13.11538,49,53049,25,1513274,1513274,53049,"0500000US53049",11.7461716666667
"289","Grant","Wilson Creek School District",14,137,0.10219,9.78571,25,53025,13,1531924,1531924,53025,"0500000US53025",14.578089
"290","Lewis","Winlock School District",43,677,0.06352,15.74419,41,53041,21,1531927,1531927,53041,"0500000US53041",13.5884361538462
"291","Grays Harbor","Wishkah Valley School District",37,146,0.25342,3.94595,27,53027,14,1531823,1531823,53027,"0500000US53027",12.2227376923077
"292","Klickitat","Wishram School District",9,58,0.15517,6.44444,39,53039,20,1529219,1529219,53039,"0500000US53039",9.754542
"293","Cowlitz","Woodland School District",144,2408,0.0598,16.72222,15,53015,8,1529156,1529156,53015,"0500000US53015",16.13208
"294","Yakima","Yakima School District",989,15726,0.06289,15.90091,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"295","Yakima","Zillah School District",81,1251,0.06475,15.44444,77,53077,39,1531929,1531929,53077,"0500000US53077",15.958876
"296","Thurston","Office of the Governor (Sch for Blind)",16,55,0.29091,3.4375,67,53067,34,1529226,1529226,53067,"0500000US53067",13.461519
"297","Thurston","Washington Center for Deaf and Hard of Hearing Youth",17,100,0.17,5.88235,67,53067,34,1529226,1529226,53067,"0500000US53067",13.461519
"298","Spokane","PRIDE Prep Charter School District",43,722,0.05956,16.7907,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"299","King","Rainier Prep Charter School District",25,346,0.07225,13.84,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"300","Kitsap","Suquamish Tribal Education Department",12,90,0.13333,7.5,35,53035,18,1529223,1529223,53035,"0500000US53035",13.7001785714286
"301","King","Summit Public School: Sierra",25,375,0.06667,15,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"302","Pierce","Summit Public School: Olympus",13,198,0.06566,15.23077,53,53053,27,1529159,1529159,53053,"0500000US53053",15.682438125
"303","Spokane","Spokane International Academy",35,598,0.05853,17.08571,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
"304","King","Summit Public School: Atlas",28,470,0.05957,16.78571,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"305","Walla Walla","Innovation Schools",6,51,0.11765,8.5,71,53071,36,1531819,1531819,53071,"0500000US53071",13.3831125
"306","King","Rainier Valley Leadership Academy",14,156,0.08974,11.14286,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"307","King","Impact | Puget Sound Elementary",27,413,0.06538,15.2963,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"308","Kitsap","Catalyst Public Schools",12,168,0.07143,14,35,53035,18,1529223,1529223,53035,"0500000US53035",13.7001785714286
"309","King","Impact | Salish Sea Elementary",8,128,0.0625,16,33,53033,17,1531933,1531933,53033,"0500000US53033",14.8800172
"310","Spokane","Lumen Public School",6,33,0.18182,5.5,63,53063,32,1529225,1529225,53063,"0500000US53063",13.9594070588235
